Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
54;1068130;54.46;-128.57;217;1969;2002;28;TERRACE A;BC;Lin
55;1068131;54.5;-128.62;67;1968;2017;47;TERRACE PCC;BC;Lin
56;1076638;54.61;-126.9;533;1963;1994;13;QUICK;BC;Lin
57;1077501;54.82;-127.18;517;1971;2024;42;SMITHERS AIRPORT AUTO;BC;Lin
58;1084490;50.83;-122.86;685;1970;1982;12;LAJOIE DAM;BC;Lin
59;1085836;53.77;-125.99;861;2010;2023;12;OOTSA LAKESKINS LAKE CLIMATE;BC;Lin
60;1086082;50.3;-122.73;204;1969;2024;25;PEMBERTON AIRPORT CS;BC;Lin
61;1086558;52.11;-124.13;909;1969;2021;18;PUNTZI MOUNTAIN (AUT);BC;Lin
62;1087600;54.03;-125.76;730;1963;1975;12;SOUTHBANK;BC;Lin
63;1088015;51.67;-124.4;875;2006;2021;12;TATLAYOKO LAKE RCS;BC;Poly
64;1091174;54.38;-125.95;713;1969;2024;36;BURNS LAKE DECKER LAKE;BC;Lin
65;1092970;54.45;-124.28;691;1976;2010;30;FORT ST JAMES;BC;Lin
66;1092975;54.45;-124.28;688;1979;2024;22;FORT ST JAMES AUTO;BC;Lin
67;1093599;52.33;-121.41;784;1970;1983;14;HORSEFLY BCFS;BC;Lin
68;1094125;52.81;-122.36;670;1981;1992;11;KERSLEY;BC;Lin
69;1094948;53.42;-120.35;733;1993;2005;12;MCBRIDE ELDER CREEK;BC;Lin
70;1094955;53.36;-120.25;771;1973;1991;18;MCBRIDE NORTH;BC;Lin
71;1096453;53.88;-122.67;680;1960;2024;56;PRINCE GEORGE AIRPORT AUTO;BC;Lin
72;1096454;53.89;-122.79;601;2012;2024;13;PRINCE GEORGE MASSEY AUTO;BC;Lin
73;1096631;53.02;-122.5;545;2009;2024;16;QUESNEL AIRPORT AUTO;BC;Lin
74;1098940;52.18;-122.05;939;1993;2002;10;WILLIAMS LAKE A;BC;Lin
75;1100030;49.02;-122.36;59;1977;2001;24;ABBOTSFORD A;BC;Lin
76;1100119;49.24;-121.76;19;1955;2024;37;AGASSIZ RCS;BC;Lin
